eval,source,viewport,level,name,evidence,report_path,suite,model,model_slug,source_kind,screenshot_name,bbox_px
numeric-data,deterministic,desktop,warn,metric_row_squeeze,div.section-rail > aside.reference-panel.stack > article.panel.stack > div.metric-list > div.metric-row row=340px meter=120px value=51/51px overRight=5px; div.section-rail > aside.reference-panel.stack > article.panel.stack > div.metric-list > div.metric-row row=340px meter=120px value=51/51px overRight=5px; div.section-rail > aside.reference-panel.stack > article.panel.stack > div.metric-list > div.metric-row row=340px meter=120px value=51/51px overRight=5px,results/publish/models/codexresponses-gpt-5-4-mini/reports/skill-with-shell-codexresponses-gpt-5-4-mini-publication-final-desktop.json,publish,codexresponses.gpt-5.4-mini,codexresponses-gpt-5-4-mini,clean-final,,
numeric-data,deterministic,deep,warn,metric_row_squeeze,div.section-rail > aside.reference-panel.stack > article.panel.stack > div.metric-list > div.metric-row row=340px meter=120px value=51/51px overRight=5px; div.section-rail > aside.reference-panel.stack > article.panel.stack > div.metric-list > div.metric-row row=340px meter=120px value=51/51px overRight=5px; div.section-rail > aside.reference-panel.stack > article.panel.stack > div.metric-list > div.metric-row row=340px meter=120px value=51/51px overRight=5px,results/publish/models/codexresponses-gpt-5-4-mini/reports/skill-with-shell-codexresponses-gpt-5-4-mini-publication-final-deep.json,publish,codexresponses.gpt-5.4-mini,codexresponses-gpt-5-4-mini,clean-final,,
numeric-data,deterministic,desktop,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=7510,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-desktop.json,publish,codexspark,codexspark,clean-final,,
numeric-data,deterministic,desktop,warn,metric_row_squeeze,section.section.stack > div.section-rail > aside.panel.stack > div.metric-list > div.metric-row row=446px meter=140px value=150/137px overRight=111px; section.section.stack > div.section-rail > aside.panel.stack > div.metric-list > div.metric-row row=446px meter=140px value=150/137px overRight=111px; section.section.stack > div.section-rail > aside.panel.stack > div.metric-list > div.metric-row row=446px meter=140px value=150/130px overRight=111px,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-desktop.json,publish,codexspark,codexspark,clean-final,,
code-review,deterministic,desktop,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-desktop.json,publish,codexspark,codexspark,clean-final,,
code-review,deterministic,desktop,fail,grid_list_item_children,"grid-based insight/takeaway list items should wrap content in one child; examples: build_chart_brief.py : data loading, per-artifact line-chart construction, table/ranking r | run_eval.py : end-to-end regeneration + 4 viewport checker invocations. | check_candle_renderings.py : contract checks, list/metric/timeline parser additions, and r",results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-desktop.json,publish,codexspark,codexspark,clean-final,,
module-explainer,deterministic,desktop,warn,split_rail_heading_alignment,Artifact mode payload ↔ Pair mode additions delta=-25px,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-desktop.json,publish,codexspark,codexspark,clean-final,,
numeric-data,deterministic,mobile,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=7510,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-mobile.json,publish,codexspark,codexspark,clean-final,,
numeric-data,deterministic,mobile,fail,layout_overflow,section.section.stack > div.section-rail > div.stack > article.panel.chart-panel.stack > p.chart-caption overX=0 overY=0 offRight=202; div.section-rail > div.stack > article.panel.stack > div.section-head > h2 overX=0 overY=0 offRight=202; main.page.stack > section.section.stack > div.section-rail > aside.panel.stack > h2 overX=0 overY=0 offRight=202; div.section-rail > aside.panel.stack > div.metric-list > div.metric-row > span.caption overX=0 overY=0 offRight=40; div.section-rail > aside.panel.stack > div.metric-list > div.metric-row > code overX=0 overY=0 offRight=202,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-mobile.json,publish,codexspark,codexspark,clean-final,,
code-review,deterministic,mobile,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-mobile.json,publish,codexspark,codexspark,clean-final,,
