suite,model,model_slug,source_kind,label,eval,artifact_path,screenshot_desktop_path,screenshot_mobile_path,screenshot_deep_path,screenshot_mobile_deep_path,artifact_bytes,generation_ok,generation_duration_s,input_tokens,output_tokens,total_tokens,billing_tokens,reasoning_tokens,tool_use_tokens,cache_read_tokens,cache_write_tokens,cache_hit_tokens,total_cache_tokens,effective_input_tokens,display_input_tokens,usage_event_count,tool_calls,turn_count,self_check_attempted,self_check_ran,self_check_succeeded,self_check_runs,self_check_failed_runs,self_check_successful_runs,self_correction_edits,self_corrected_after_checker,self_correction_verified,assistant_turns_trace,self_check_mode,self_check_evidence,deterministic_failures,deterministic_warnings,vlm_failures,vlm_warnings,deterministic_failure_units,deterministic_warning_units,vlm_failure_units,vlm_warning_units,desktop_failures,desktop_warnings,mobile_failures,mobile_warnings,deep_failures,deep_warnings,mobile_deep_failures,mobile_deep_warnings,artifact_present,artifact_score_100,task_score,task_score_max,quality_score,quality_cap_reason,quality_class
publish,codexresponses.gpt-5.4-mini,codexresponses-gpt-5-4-mini,clean-final,skill-with-shell-codexresponses-gpt-5-4-mini-publication-final,numeric-data,results/publish/models/codexresponses-gpt-5-4-mini/artifacts/numeric-data.html,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/numeric-data-desktop.png,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/numeric-data-mobile.png,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/numeric-data-deep.png,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/numeric-data-mobile-deep.png,41655,True,233.57,257043,19565,276608,276608,13843,0,0,0,236032,236032,21011,257043,12,16,12,True,True,True,2,1,1,0,False,True,12,run-checker-cli,ran checker CLI: python /home/shaun/source/birch-html/skill/scripts/check_birch_renderings.py --artifact /home/shaun/source/birch-html/eval-runs/skill-with-shell-codexresponses-gpt-5-4-mini-publica,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,True,99,19.8,20,99,,warn
publish,codexresponses.gpt-5.4-mini,codexresponses-gpt-5-4-mini,clean-final,skill-with-shell-codexresponses-gpt-5-4-mini-publication-final,code-review,results/publish/models/codexresponses-gpt-5-4-mini/artifacts/code-review.html,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/code-review-desktop.png,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/code-review-mobile.png,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/code-review-deep.png,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/code-review-mobile-deep.png,40247,True,251.091,1602209,16541,1618750,1618750,10735,0,0,0,1516544,1516544,85665,1602209,24,39,24,True,True,True,3,1,2,0,False,True,24,"checker-cli-error,run-checker-cli","ran checker CLI: cd /home/shaun/source/birch-html && uv run python skill/scripts/check_birch_renderings.py --help | sed -n '1,220p' | checker CLI usage error | ran checker CLI: cd /home/shaun/source/birch-html && uv run --with pillow python skill/scripts/check_birch_renderings.py --artifact eval-runs/skill-with-shell-codexresponses-gpt-5-4-mini-publicatio | ran checker CLI: cd /home/shaun/source/birch-html && uv run --with pillow python skill/scripts/check_birch_renderings.py --artifact /home/shaun/source/birch-html/eval-runs/skill-with-shell-codexres",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,100.0,20.0,20,100.0,,clean
publish,codexresponses.gpt-5.4-mini,codexresponses-gpt-5-4-mini,clean-final,skill-with-shell-codexresponses-gpt-5-4-mini-publication-final,module-explainer,results/publish/models/codexresponses-gpt-5-4-mini/artifacts/module-explainer.html,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/module-explainer-desktop.png,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/module-explainer-mobile.png,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/module-explainer-deep.png,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/module-explainer-mobile-deep.png,51503,True,228.357,538144,20613,558757,558757,12973,0,0,0,489472,489472,48672,538144,14,29,14,True,True,True,2,0,2,0,False,False,14,"checker-shell-reference,read-checker,run-checker-cli","read /home/shaun/source/birch-html/scripts/check_birch_renderings.py | shell referenced checker: rg -n ""^def (contract_findings|compare_stats|screenshot_findings|artifact_screenshot_findings|geometry_findings|render_markdown|capture|find_chrome|capture_height_for_viewport|css_ | ran checker CLI: mkdir -p /home/shaun/source/birch-html/eval-runs/skill-with-shell-codexresponses-gpt-5-4-mini-publication-final && cat > /home/shaun/source/birch-html/eval-runs/skill-with-shell-co | ran checker CLI: cd /home/shaun/source/birch-html && uv run --with pillow python scripts/check_birch_renderings.py --artifact eval-runs/skill-with-shell-codexresponses-gpt-5-4-mini-publication-fina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,100.0,20.0,20,100.0,,clean
publish,codexresponses.gpt-5.4-mini,codexresponses-gpt-5-4-mini,clean-final,skill-with-shell-codexresponses-gpt-5-4-mini-publication-final,implementation-plan,results/publish/models/codexresponses-gpt-5-4-mini/artifacts/implementation-plan.html,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/implementation-plan-desktop.png,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/implementation-plan-mobile.png,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/implementation-plan-deep.png,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/implementation-plan-mobile-deep.png,48838,True,249.193,122451,13529,135980,135980,8129,0,0,0,103936,103936,18515,122451,8,11,8,True,True,True,2,1,1,0,False,True,8,run-checker-cli,"ran checker CLI: cat > /home/shaun/source/birch-html/eval-runs/skill-with-shell-codexresponses-gpt-5-4-mini-publication-final/implementation-plan.html <<'EOF'
<!doctype html>
<html lang=""en"">
<head | ran checker CLI: cd /home/shaun/source/birch-html && uv run --with pillow python skill/scripts/check_birch_renderings.py --artifact eval-runs/skill-with-shell-codexresponses-gpt-5-4-mini-publicatio | ran checker CLI: cd /home/shaun/source/birch-html && uv run --with pillow python skill/scripts/check_birch_renderings.py --artifact /home/shaun/source/birch-html/eval-runs/skill-with-shell-codexres",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,100.0,20.0,20,100.0,,clean
publish,codexresponses.gpt-5.4-mini,codexresponses-gpt-5-4-mini,clean-final,skill-with-shell-codexresponses-gpt-5-4-mini-publication-final,benchmark-comparison,results/publish/models/codexresponses-gpt-5-4-mini/artifacts/benchmark-comparison.html,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/benchmark-comparison-desktop.png,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/benchmark-comparison-mobile.png,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/benchmark-comparison-deep.png,results/publish/models/codexresponses-gpt-5-4-mini/reports/screenshots/benchmark-comparison-mobile-deep.png,55271,True,193.592,280048,17564,297612,297612,9912,0,0,0,261120,261120,18928,280048,14,18,14,True,True,True,4,3,1,0,False,True,14,run-checker-cli,"ran checker CLI: cd /home/shaun/source/birch-html && mkdir -p eval-runs/skill-with-shell-codexresponses-gpt-5-4-mini-publication-final && uv run --with matplotlib python - <<'PY'
from pathlib impor | ran checker CLI: cd /home/shaun/source/birch-html && uv run --with pillow python skill/scripts/check_birch_renderings.py --artifact eval-runs/skill-with-shell-codexresponses-gpt-5-4-mini-publicatio | ran checker CLI: cd /home/shaun/source/birch-html && uv run --with pillow python skill/scripts/check_birch_renderings.py --artifact /home/shaun/source/birch-html/eval-runs/skill-with-shell-codexres | ran checker CLI: python3 - <<'PY'
from pathlib import Path
path = Path('/home/shaun/source/birch-html/eval-runs/skill-with-shell-codexresponses-gpt-5-4-mini-publication-final/benchmark-comparison.h | ran checker CLI: python3 - <<'PY'
from pathlib import Path
import re
path = Path('/home/shaun/source/birch-html/eval-runs/skill-with-shell-codexresponses-gpt-5-4-mini-publication-final/benchmark-co",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,100.0,20.0,20,100.0,,clean
publish,codexresponses.gpt-5.5,codexresponses-gpt-5-5,clean-final,skill-with-shell-codexresponses-gpt-5-5-opus-gpt55-deepseek-experiment-20260524-164522,numeric-data,results/publish/models/codexresponses-gpt-5-5/artifacts/numeric-data.html,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/numeric-data-desktop.png,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/numeric-data-mobile.png,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/numeric-data-deep.png,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/numeric-data-mobile-deep.png,42203,True,126.071,73486,5728,79214,79214,449,0,0,0,52736,52736,20750,73486,8,11,8,True,True,True,2,1,1,0,False,True,8,run-checker-cli,ran checker CLI: uv run --with pillow python skill/scripts/check_birch_renderings.py --artifact eval-runs/skill-with-shell-codexresponses-gpt-5-5-opus-gpt55-deepseek-experiment-20260524-164522/nume | ran checker CLI: uv run --with pillow python skill/scripts/check_birch_renderings.py --artifact /home/shaun/source/birch-html/eval-runs/skill-with-shell-codexresponses-gpt-5-5-opus-gpt55-deepseek-e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,100.0,20.0,20,100.0,,clean
publish,codexresponses.gpt-5.5,codexresponses-gpt-5-5,clean-final,skill-with-shell-codexresponses-gpt-5-5-opus-gpt55-deepseek-experiment-20260524-164522,code-review,results/publish/models/codexresponses-gpt-5-5/artifacts/code-review.html,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/code-review-desktop.png,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/code-review-mobile.png,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/code-review-deep.png,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/code-review-mobile-deep.png,42437,True,114.697,151259,4995,156254,156254,1208,0,0,0,122368,122368,28891,151259,9,11,9,True,True,True,2,1,1,0,False,True,9,run-checker-cli,"ran checker CLI: uv run --with pillow python skill/scripts/check_birch_renderings.py --artifact /home/shaun/source/birch-html/eval-runs/skill-with-shell-codexresponses-gpt-5-5-opus-gpt55-deepseek-e | ran checker CLI: python - <<'PY'
from pathlib import Path
p=Path('/home/shaun/source/birch-html/eval-runs/skill-with-shell-codexresponses-gpt-5-5-opus-gpt55-deepseek-experiment-20260524-164522/code",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,100.0,20.0,20,100.0,,clean
publish,codexresponses.gpt-5.5,codexresponses-gpt-5-5,clean-final,skill-with-shell-codexresponses-gpt-5-5-opus-gpt55-deepseek-experiment-20260524-164522,module-explainer,results/publish/models/codexresponses-gpt-5-5/artifacts/module-explainer.html,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/module-explainer-desktop.png,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/module-explainer-mobile.png,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/module-explainer-deep.png,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/module-explainer-mobile-deep.png,55010,True,166.583,315269,8441,323710,323710,504,0,0,0,259584,259584,55685,315269,10,22,10,True,True,True,1,0,1,0,False,False,10,"checker-shell-reference,read-checker,run-checker-cli","read /home/shaun/source/birch-html/scripts/check_birch_renderings.py | shell referenced checker: cd /home/shaun/source/birch-html && rg -n ""^(def|class) "" scripts/check_birch_renderings.py scripts/birch_mpl.py evals/charts/run_eval.py evals/charts/build_chart_brief.py | ran checker CLI: cd /home/shaun/source/birch-html && mkdir -p eval-runs/skill-with-shell-codexresponses-gpt-5-5-opus-gpt55-deepseek-experiment-20260524-164522 && python - <<'PY'
from pathlib import",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,100.0,20.0,20,100.0,,clean
publish,codexresponses.gpt-5.5,codexresponses-gpt-5-5,clean-final,skill-with-shell-codexresponses-gpt-5-5-opus-gpt55-deepseek-experiment-20260524-164522,implementation-plan,results/publish/models/codexresponses-gpt-5-5/artifacts/implementation-plan.html,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/implementation-plan-desktop.png,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/implementation-plan-mobile.png,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/implementation-plan-deep.png,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/implementation-plan-mobile-deep.png,48834,True,141.971,98974,6433,105407,105407,451,0,0,0,79872,79872,19102,98974,9,11,9,True,True,True,2,0,2,0,False,False,9,run-checker-cli,"ran checker CLI: cat > /home/shaun/source/birch-html/eval-runs/skill-with-shell-codexresponses-gpt-5-5-opus-gpt55-deepseek-experiment-20260524-164522/implementation-plan.html <<'EOF'
<!doctype html | ran checker CLI: python - <<'PY'
from pathlib import Path
p=Path('/home/shaun/source/birch-html/eval-runs/skill-with-shell-codexresponses-gpt-5-5-opus-gpt55-deepseek-experiment-20260524-164522/impl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,100.0,20.0,20,100.0,,clean
publish,codexresponses.gpt-5.5,codexresponses-gpt-5-5,clean-final,skill-with-shell-codexresponses-gpt-5-5-opus-gpt55-deepseek-experiment-20260524-164522,benchmark-comparison,results/publish/models/codexresponses-gpt-5-5/artifacts/benchmark-comparison.html,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/benchmark-comparison-desktop.png,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/benchmark-comparison-mobile.png,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/benchmark-comparison-deep.png,results/publish/models/codexresponses-gpt-5-5/reports/screenshots/benchmark-comparison-mobile-deep.png,52072,True,121.208,127399,5963,133362,133362,565,0,0,0,94208,94208,33191,127399,11,14,11,True,True,True,2,1,1,0,False,True,11,run-checker-cli,ran checker CLI: uv run --with pillow python skill/scripts/check_birch_renderings.py --artifact eval-runs/skill-with-shell-codexresponses-gpt-5-5-opus-gpt55-deepseek-experiment-20260524-164522/benc | ran checker CLI: uv run --with pillow python skill/scripts/check_birch_renderings.py --artifact /home/shaun/source/birch-html/eval-runs/skill-with-shell-codexresponses-gpt-5-5-opus-gpt55-deepseek-e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,100.0,20.0,20,100.0,,clean
